대여대여소번호,반납대여소번호,대여,반납,총대여,총반납,차이,총차이,ScoreMag,ScoreRatio,lent_stationName,return_stationName,url
2306,2347,6,290,5624,4871,-284,753,5,0.959459459,압구정역 2번 출구 옆,두산건설 본사,http://map.daum.net/?sName=압구정역 2번 출구 옆 대여소&eName=두산건설 본사 대여소&target=bicycle
2306,2352,47,157,5624,4871,-110,753,2,0.539215686,압구정역 2번 출구 옆,서울본부세관(건설회관 앞),http://map.daum.net/?sName=압구정역 2번 출구 옆 대여소&eName=서울본부세관(건설회관 앞) 대여소&target=bicycle
2306,2308,701,386,5624,4871,315,753,6,0.289788408,압구정역 2번 출구 옆,압구정파출소 앞,http://map.daum.net/?sName=압구정역 2번 출구 옆 대여소&eName=압구정파출소 앞 대여소&target=bicycle
131,167,14,294,7427,8415,-280,-988,5,0.909090909,증산2교,연가초등학교 옆,http://map.daum.net/?sName=증산2교 대여소&eName=연가초등학교 옆 대여소&target=bicycle
113,167,22,206,32779,40103,-184,-7324,3,0.807017544,홍대입구역 2번출구 앞,연가초등학교 옆,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=연가초등학교 옆 대여소&target=bicycle
131,414,167,57,7427,8415,110,-988,2,0.491071429,증산2교,상암동주민센터 옆,http://map.daum.net/?sName=증산2교 대여소&eName=상암동주민센터 옆 대여소&target=bicycle
400,414,335,221,4593,5026,114,-433,2,0.205035971,상암한화오벨리스크 1차 앞,상암동주민센터 옆,http://map.daum.net/?sName=상암한화오벨리스크 1차 앞 대여소&eName=상암동주민센터 옆 대여소&target=bicycle
409,414,194,387,11080,13610,-193,-2530,3,0.332185886,누리꿈스퀘어 옆,상암동주민센터 옆,http://map.daum.net/?sName=누리꿈스퀘어 옆 대여소&eName=상암동주민센터 옆 대여소&target=bicycle
131,133,238,129,7427,8415,109,-988,2,0.297002725,증산2교,해담는다리,http://map.daum.net/?sName=증산2교 대여소&eName=해담는다리 대여소&target=bicycle
131,415,82,150,7427,8415,-68,-988,1,0.293103448,증산2교,DMC역 9번출구 앞,http://map.daum.net/?sName=증산2교 대여소&eName=DMC역 9번출구 앞 대여소&target=bicycle
409,415,1115,1795,11080,13610,-680,-2530,13,0.233676976,누리꿈스퀘어 옆,DMC역 9번출구 앞,http://map.daum.net/?sName=누리꿈스퀘어 옆 대여소&eName=DMC역 9번출구 앞 대여소&target=bicycle
178,415,215,131,3419,3650,84,-231,1,0.242774566,증산3교 앞,DMC역 9번출구 앞,http://map.daum.net/?sName=증산3교 앞 대여소&eName=DMC역 9번출구 앞 대여소&target=bicycle
203,213,30,479,7670,7620,-449,50,8,0.882121807,국회의사당역 3번출구 옆,KT앞,http://map.daum.net/?sName=국회의사당역 3번출구 옆 대여소&eName=KT앞 대여소&target=bicycle
204,213,27,312,5442,5216,-285,226,5,0.840707965,국회의사당역 5번출구 옆,KT앞,http://map.daum.net/?sName=국회의사당역 5번출구 옆 대여소&eName=KT앞 대여소&target=bicycle
206,213,206,355,8174,7845,-149,329,2,0.265597148,KBS 앞,KT앞,http://map.daum.net/?sName=KBS 앞 대여소&eName=KT앞 대여소&target=bicycle
207,213,67,133,48130,45467,-66,2663,1,0.33,여의나루역 1번출구 앞,KT앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=KT앞 대여소&target=bicycle
205,213,76,158,7337,7031,-82,306,1,0.35042735,산업은행 앞,KT앞,http://map.daum.net/?sName=산업은행 앞 대여소&eName=KT앞 대여소&target=bicycle
202,213,64,157,13050,14170,-93,-1120,1,0.42081448,국민일보 앞,KT앞,http://map.daum.net/?sName=국민일보 앞 대여소&eName=KT앞 대여소&target=bicycle
210,213,491,748,20427,20741,-257,-314,5,0.207425343,IFC몰,KT앞,http://map.daum.net/?sName=IFC몰 대여소&eName=KT앞 대여소&target=bicycle
203,212,88,304,7670,7620,-216,50,4,0.551020408,국회의사당역 3번출구 옆,여의도역 1번출구 옆,http://map.daum.net/?sName=국회의사당역 3번출구 옆 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
204,212,72,259,5442,5216,-187,226,3,0.564954683,국회의사당역 5번출구 옆,여의도역 1번출구 옆,http://map.daum.net/?sName=국회의사당역 5번출구 옆 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
206,212,153,438,8174,7845,-285,329,5,0.482233503,KBS 앞,여의도역 1번출구 옆,http://map.daum.net/?sName=KBS 앞 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
207,212,158,526,48130,45467,-368,2663,7,0.538011696,여의나루역 1번출구 앞,여의도역 1번출구 옆,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
211,212,93,246,12700,11273,-153,1427,3,0.451327434,여의도역 4번출구 옆,여의도역 1번출구 옆,http://map.daum.net/?sName=여의도역 4번출구 옆 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
205,212,62,185,7337,7031,-123,306,2,0.497975709,산업은행 앞,여의도역 1번출구 옆,http://map.daum.net/?sName=산업은행 앞 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
202,212,157,324,13050,14170,-167,-1120,3,0.347193347,국민일보 앞,여의도역 1번출구 옆,http://map.daum.net/?sName=국민일보 앞 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
210,212,203,327,20427,20741,-124,-314,2,0.233962264,IFC몰,여의도역 1번출구 옆,http://map.daum.net/?sName=IFC몰 대여소&eName=여의도역 1번출구 옆 대여소&target=bicycle
203,258,56,145,7670,7620,-89,50,1,0.44278607,국회의사당역 3번출구 옆,신길역3번출구,http://map.daum.net/?sName=국회의사당역 3번출구 옆 대여소&eName=신길역3번출구 대여소&target=bicycle
212,258,231,53,13214,5886,178,7328,3,0.626760563,여의도역 1번출구 옆,신길역3번출구,http://map.daum.net/?sName=여의도역 1번출구 옆 대여소&eName=신길역3번출구 대여소&target=bicycle
205,258,87,169,7337,7031,-82,306,1,0.3203125,산업은행 앞,신길역3번출구,http://map.daum.net/?sName=산업은행 앞 대여소&eName=신길역3번출구 대여소&target=bicycle
200,258,63,179,3254,2878,-116,376,2,0.479338843,국회의원회관,신길역3번출구,http://map.daum.net/?sName=국회의원회관 대여소&eName=신길역3번출구 대여소&target=bicycle
210,258,379,790,20427,20741,-411,-314,8,0.351582549,IFC몰,신길역3번출구,http://map.daum.net/?sName=IFC몰 대여소&eName=신길역3번출구 대여소&target=bicycle
257,258,103,171,8039,11421,-68,-3382,1,0.248175182,신길삼거리(우리은행),신길역3번출구,http://map.daum.net/?sName=신길삼거리(우리은행) 대여소&eName=신길역3번출구 대여소&target=bicycle
203,214,144,309,7670,7620,-165,50,3,0.364238411,국회의사당역 3번출구 옆,금융감독원 앞,http://map.daum.net/?sName=국회의사당역 3번출구 옆 대여소&eName=금융감독원 앞 대여소&target=bicycle
212,214,151,100,13214,5886,51,7328,1,0.203187251,여의도역 1번출구 옆,금융감독원 앞,http://map.daum.net/?sName=여의도역 1번출구 옆 대여소&eName=금융감독원 앞 대여소&target=bicycle
207,214,75,179,48130,45467,-104,2663,2,0.409448819,여의나루역 1번출구 앞,금융감독원 앞,http://map.daum.net/?sName=여의나루역 1번출구 앞 대여소&eName=금융감독원 앞 대여소&target=bicycle
204,274,169,52,5442,5216,117,226,2,0.529411765,국회의사당역 5번출구 옆,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=국회의사당역 5번출구 옆 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
212,274,251,69,13214,5886,182,7328,3,0.56875,여의도역 1번출구 옆,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=여의도역 1번출구 옆 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
206,274,363,167,8174,7845,196,329,3,0.369811321,KBS 앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=KBS 앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
214,274,366,96,5718,4078,270,1640,5,0.584415584,금융감독원 앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=금융감독원 앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
213,274,480,148,8227,6685,332,1542,6,0.52866242,KT앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=KT앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
211,274,205,68,12700,11273,137,1427,2,0.501831502,여의도역 4번출구 옆,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=여의도역 4번출구 옆 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
205,274,254,96,7337,7031,158,306,3,0.451428571,산업은행 앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=산업은행 앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
1925,274,85,145,10853,11258,-60,-405,1,0.260869565,동양미래대학교 정문 옆,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=동양미래대학교 정문 옆 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
202,274,283,157,13050,14170,126,-1120,2,0.286363636,국민일보 앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=국민일보 앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
238,274,141,69,8430,8601,72,-171,1,0.342857143,제2구민체육센타 앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=제2구민체육센타 앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
210,274,524,300,20427,20741,224,-314,4,0.27184466,IFC몰,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=IFC몰 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
257,274,315,539,8039,11421,-224,-3382,4,0.262295082,신길삼거리(우리은행),영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=신길삼거리(우리은행) 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
240,274,243,154,7187,6598,89,589,1,0.22418136,문래역 4번출구 앞,영등포역지하쇼핑센타 5번출구,http://map.daum.net/?sName=문래역 4번출구 앞 대여소&eName=영등포역지하쇼핑센타 5번출구 대여소&target=bicycle
204,247,190,102,5442,5216,88,226,1,0.301369863,국회의사당역 5번출구 옆,당산역 10번출구 앞,http://map.daum.net/?sName=국회의사당역 5번출구 옆 대여소&eName=당산역 10번출구 앞 대여소&target=bicycle
227,247,190,310,6651,8339,-120,-1688,2,0.24,양평2나들목 보행통로 입구,당산역 10번출구 앞,http://map.daum.net/?sName=양평2나들목 보행통로 입구 대여소&eName=당산역 10번출구 앞 대여소&target=bicycle
204,239,86,144,5442,5216,-58,226,1,0.252173913,국회의사당역 5번출구 옆,유스호스텔 앞,http://map.daum.net/?sName=국회의사당역 5번출구 옆 대여소&eName=유스호스텔 앞 대여소&target=bicycle
213,239,57,181,8227,6685,-124,1542,2,0.521008403,KT앞,유스호스텔 앞,http://map.daum.net/?sName=KT앞 대여소&eName=유스호스텔 앞 대여소&target=bicycle
113,3101,57,202,32779,40103,-145,-7324,2,0.55984556,홍대입구역 2번출구 앞,서대문구청,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=서대문구청 대여소&target=bicycle
166,3101,86,190,8122,8785,-104,-663,2,0.376811594,가재울 초등학교,서대문구청,http://map.daum.net/?sName=가재울 초등학교 대여소&eName=서대문구청 대여소&target=bicycle
188,3101,81,132,4860,5122,-51,-262,1,0.23943662,홍은동 정원여중 입구,서대문구청,http://map.daum.net/?sName=홍은동 정원여중 입구 대여소&eName=서대문구청 대여소&target=bicycle
113,196,160,508,32779,40103,-348,-7324,6,0.520958084,홍대입구역 2번출구 앞,연희교차로 인근,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=연희교차로 인근 대여소&target=bicycle
113,172,194,581,32779,40103,-387,-7324,7,0.499354839,홍대입구역 2번출구 앞,서대문소방서,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=서대문소방서 대여소&target=bicycle
128,172,82,136,9612,9498,-54,114,1,0.247706422,신촌역(2호선) 1번출구 옆,서대문소방서,http://map.daum.net/?sName=신촌역(2호선) 1번출구 옆 대여소&eName=서대문소방서 대여소&target=bicycle
115,172,157,98,8254,7077,59,1177,1,0.231372549,사루비아 빌딩 앞,서대문소방서,http://map.daum.net/?sName=사루비아 빌딩 앞 대여소&eName=서대문소방서 대여소&target=bicycle
113,188,138,387,32779,40103,-249,-7324,4,0.474285714,홍대입구역 2번출구 앞,홍은동 정원여중 입구,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=홍은동 정원여중 입구 대여소&target=bicycle
113,168,144,344,32779,40103,-200,-7324,4,0.409836066,홍대입구역 2번출구 앞,남가좌동 사거리,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=남가좌동 사거리 대여소&target=bicycle
113,165,289,638,32779,40103,-349,-7324,6,0.376483279,홍대입구역 2번출구 앞,중앙근린공원,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=중앙근린공원 대여소&target=bicycle
113,141,85,169,32779,40103,-84,-7324,1,0.330708661,홍대입구역 2번출구 앞,연대 대운동장 옆,http://map.daum.net/?sName=홍대입구역 2번출구 앞 대여소&eName=연대 대운동장 옆 대여소&target=bicycle
