lent,return,lent_stationName,return_stationName,url
502,588,뚝섬유원지역 1번출구 앞,뚝섬 유원지역,http://map.daum.net/?sName=뚝섬유원지역 1번출구 앞 대여소&eName=뚝섬 유원지역 대여소&target=bicycle
114,184,홍대입구역 8번출구 앞,SK망원동주유소 건너편,http://map.daum.net/?sName=홍대입구역 8번출구 앞 대여소&eName=SK망원동주유소 건너편 대여소&target=bicycle
106,184,합정역 7번출구 앞,SK망원동주유소 건너편,http://map.daum.net/?sName=합정역 7번출구 앞 대여소&eName=SK망원동주유소 건너편 대여소&target=bicycle
103,184,망원역 2번출구 앞,SK망원동주유소 건너편,http://map.daum.net/?sName=망원역 2번출구 앞 대여소&eName=SK망원동주유소 건너편 대여소&target=bicycle
114,151,홍대입구역 8번출구 앞,망원1동주민센터,http://map.daum.net/?sName=홍대입구역 8번출구 앞 대여소&eName=망원1동주민센터 대여소&target=bicycle
106,151,합정역 7번출구 앞,망원1동주민센터,http://map.daum.net/?sName=합정역 7번출구 앞 대여소&eName=망원1동주민센터 대여소&target=bicycle
114,195,홍대입구역 8번출구 앞,모래내고가차도,http://map.daum.net/?sName=홍대입구역 8번출구 앞 대여소&eName=모래내고가차도 대여소&target=bicycle
183,195,하늘채코오롱아파트 건너편,모래내고가차도,http://map.daum.net/?sName=하늘채코오롱아파트 건너편 대여소&eName=모래내고가차도 대여소&target=bicycle
114,126,홍대입구역 8번출구 앞,서강대 후문 옆,http://map.daum.net/?sName=홍대입구역 8번출구 앞 대여소&eName=서강대 후문 옆 대여소&target=bicycle
114,124,홍대입구역 8번출구 앞,서강대 정문 건너편,http://map.daum.net/?sName=홍대입구역 8번출구 앞 대여소&eName=서강대 정문 건너편 대여소&target=bicycle
118,124,광흥창역 2번출구 앞,서강대 정문 건너편,http://map.daum.net/?sName=광흥창역 2번출구 앞 대여소&eName=서강대 정문 건너편 대여소&target=bicycle
1906,708,신도림역 1번 출구 앞,서울출입국관리사무소 앞,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=서울출입국관리사무소 앞 대여소&target=bicycle
1906,1931,신도림역 1번 출구 앞,개봉역(북측광장),http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=개봉역(북측광장) 대여소&target=bicycle
1906,716,신도림역 1번 출구 앞,신정6동 주민센터 인근,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=신정6동 주민센터 인근 대여소&target=bicycle
1906,1933,신도림역 1번 출구 앞,개봉푸르지오아파트 상가,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=개봉푸르지오아파트 상가 대여소&target=bicycle
1929,1933,고척근린공원 고척도서관 앞,개봉푸르지오아파트 상가,http://map.daum.net/?sName=고척근린공원 고척도서관 앞 대여소&eName=개봉푸르지오아파트 상가 대여소&target=bicycle
1906,1966,신도림역 1번 출구 앞,한마을아파트 정문상가,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=한마을아파트 정문상가 대여소&target=bicycle
1908,1966,해원리바파크 육교 밑,한마을아파트 정문상가,http://map.daum.net/?sName=해원리바파크 육교 밑 대여소&eName=한마을아파트 정문상가 대여소&target=bicycle
1906,1928,신도림역 1번 출구 앞,고척스카이돔구장 광장,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=고척스카이돔구장 광장 대여소&target=bicycle
1907,1928,구일우성(아) 육교 밑,고척스카이돔구장 광장,http://map.daum.net/?sName=구일우성(아) 육교 밑 대여소&eName=고척스카이돔구장 광장 대여소&target=bicycle
1906,262,신도림역 1번 출구 앞,영문초등학교 사거리,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=영문초등학교 사거리 대여소&target=bicycle
1906,272,신도림역 1번 출구 앞,당산육갑문,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=당산육갑문 대여소&target=bicycle
227,272,양평2나들목 보행통로 입구,당산육갑문,http://map.daum.net/?sName=양평2나들목 보행통로 입구 대여소&eName=당산육갑문 대여소&target=bicycle
238,272,제2구민체육센타 앞,당산육갑문,http://map.daum.net/?sName=제2구민체육센타 앞 대여소&eName=당산육갑문 대여소&target=bicycle
247,272,당산역 10번출구 앞,당산육갑문,http://map.daum.net/?sName=당산역 10번출구 앞 대여소&eName=당산육갑문 대여소&target=bicycle
106,272,합정역 7번출구 앞,당산육갑문,http://map.daum.net/?sName=합정역 7번출구 앞 대여소&eName=당산육갑문 대여소&target=bicycle
1123,272,공암나루근린공원 관리사무소옆,당산육갑문,http://map.daum.net/?sName=공암나루근린공원 관리사무소옆 대여소&eName=당산육갑문 대여소&target=bicycle
267,272,삼성화재 사옥 옆,당산육갑문,http://map.daum.net/?sName=삼성화재 사옥 옆 대여소&eName=당산육갑문 대여소&target=bicycle
1158,272,가양역 8번출구,당산육갑문,http://map.daum.net/?sName=가양역 8번출구 대여소&eName=당산육갑문 대여소&target=bicycle
245,272,삼성생명 당산사옥 앞,당산육갑문,http://map.daum.net/?sName=삼성생명 당산사옥 앞 대여소&eName=당산육갑문 대여소&target=bicycle
1906,241,신도림역 1번 출구 앞,신길우성1차아파트 앞 공원,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=신길우성1차아파트 앞 공원 대여소&target=bicycle
1906,1925,신도림역 1번 출구 앞,동양미래대학교 정문 옆,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=동양미래대학교 정문 옆 대여소&target=bicycle
1906,1961,신도림역 1번 출구 앞,신도림테크노근린공원,http://map.daum.net/?sName=신도림역 1번 출구 앞 대여소&eName=신도림테크노근린공원 대여소&target=bicycle
712,733,강월초교입구 사거리,신정이펜하우스314동,http://map.daum.net/?sName=강월초교입구 사거리 대여소&eName=신정이펜하우스314동 대여소&target=bicycle
706,733,신정네거리역,신정이펜하우스314동,http://map.daum.net/?sName=신정네거리역 대여소&eName=신정이펜하우스314동 대여소&target=bicycle
710,733,서부화물트럭터미널 사거리,신정이펜하우스314동,http://map.daum.net/?sName=서부화물트럭터미널 사거리 대여소&eName=신정이펜하우스314동 대여소&target=bicycle
305,307,종로구청 옆,서울역사박물관 앞,http://map.daum.net/?sName=종로구청 옆 대여소&eName=서울역사박물관 앞 대여소&target=bicycle
305,354,종로구청 옆,포르투갈 대사관 앞,http://map.daum.net/?sName=종로구청 옆 대여소&eName=포르투갈 대사관 앞 대여소&target=bicycle
327,354,낙원상가 옆,포르투갈 대사관 앞,http://map.daum.net/?sName=낙원상가 옆 대여소&eName=포르투갈 대사관 앞 대여소&target=bicycle
338,354,세운스퀘어 앞,포르투갈 대사관 앞,http://map.daum.net/?sName=세운스퀘어 앞 대여소&eName=포르투갈 대사관 앞 대여소&target=bicycle
351,354,청운초교 앞 삼거리,포르투갈 대사관 앞,http://map.daum.net/?sName=청운초교 앞 삼거리 대여소&eName=포르투갈 대사관 앞 대여소&target=bicycle
305,349,종로구청 옆,사직동주민센터,http://map.daum.net/?sName=종로구청 옆 대여소&eName=사직동주민센터 대여소&target=bicycle
306,349,광화문역 7번출구 앞,사직동주민센터,http://map.daum.net/?sName=광화문역 7번출구 앞 대여소&eName=사직동주민센터 대여소&target=bicycle
304,349,광화문역 2번출구 앞,사직동주민센터,http://map.daum.net/?sName=광화문역 2번출구 앞 대여소&eName=사직동주민센터 대여소&target=bicycle
2020,2058,장승배기역2번출구뒷편쪽,노량진동 맥도널드앞,http://map.daum.net/?sName=장승배기역2번출구뒷편쪽 대여소&eName=노량진동 맥도널드앞 대여소&target=bicycle
2013,2058,장승배기역 5번출구,노량진동 맥도널드앞,http://map.daum.net/?sName=장승배기역 5번출구 대여소&eName=노량진동 맥도널드앞 대여소&target=bicycle
2057,2058,상도 아이파크 아파트,노량진동 맥도널드앞,http://map.daum.net/?sName=상도 아이파크 아파트 대여소&eName=노량진동 맥도널드앞 대여소&target=bicycle
2020,2050,장승배기역2번출구뒷편쪽,노량진역 5번출구,http://map.daum.net/?sName=장승배기역2번출구뒷편쪽 대여소&eName=노량진역 5번출구 대여소&target=bicycle
2013,2050,장승배기역 5번출구,노량진역 5번출구,http://map.daum.net/?sName=장승배기역 5번출구 대여소&eName=노량진역 5번출구 대여소&target=bicycle
1302,1304,한성대입구역6번출구 뒤,만해공원,http://map.daum.net/?sName=한성대입구역6번출구 뒤 대여소&eName=만해공원 대여소&target=bicycle
1302,1342,한성대입구역6번출구 뒤,성북쉼터 앞,http://map.daum.net/?sName=한성대입구역6번출구 뒤 대여소&eName=성북쉼터 앞 대여소&target=bicycle
1302,1337,한성대입구역6번출구 뒤,돈암성당 옆,http://map.daum.net/?sName=한성대입구역6번출구 뒤 대여소&eName=돈암성당 옆 대여소&target=bicycle
2102,2136,봉림교 교통섬,신림역 8번출구,http://map.daum.net/?sName=봉림교 교통섬 대여소&eName=신림역 8번출구 대여소&target=bicycle
2111,2136,서울대입구역 1번출구,신림역 8번출구,http://map.daum.net/?sName=서울대입구역 1번출구 대여소&eName=신림역 8번출구 대여소&target=bicycle
2102,2135,봉림교 교통섬,신림역 5번출구,http://map.daum.net/?sName=봉림교 교통섬 대여소&eName=신림역 5번출구 대여소&target=bicycle
2106,2135,난곡 새마을금고,신림역 5번출구,http://map.daum.net/?sName=난곡 새마을금고 대여소&eName=신림역 5번출구 대여소&target=bicycle
